post_id,actor_1,actor_2,relation_type
2091246277119881414,Pakistan,Saudi Arabia,neutral-reporting
2091246013084258360,Iran,Turkiye,hostile
2091236782218305888,Saudi Arabia,Turkiye,neutral-reporting
2091234159163248777,Iran,United States,neutral-reporting
2091233857987051655,Iran,Pakistan,neutral-reporting
2091233857987051655,Iran,Saudi Arabia,neutral-reporting
2091233857987051655,Iran,Turkiye,neutral-reporting
2091233857987051655,Iran,United States,neutral-reporting
2091233857987051655,Pakistan,Saudi Arabia,neutral-reporting
2091233857987051655,Pakistan,Turkiye,neutral-reporting
2091233857987051655,Pakistan,United States,neutral-reporting
2091233857987051655,Saudi Arabia,Turkiye,neutral-reporting
2091233857987051655,Saudi Arabia,United States,neutral-reporting
2091233857987051655,Turkiye,United States,neutral-reporting
2091233039758381232,Pakistan,Turkiye,neutral-reporting
2091228766546821239,Pakistan,Saudi Arabia,neutral-reporting
2091228766546821239,Pakistan,Turkiye,neutral-reporting
2091228766546821239,Saudi Arabia,Turkiye,neutral-reporting
2091227352131096831,Pakistan,Saudi Arabia,neutral-reporting
2091221697768665385,Pakistan,Saudi Arabia,neutral-reporting
2091221697768665385,Pakistan,Turkiye,neutral-reporting
2091221697768665385,Saudi Arabia,Turkiye,neutral-reporting
2091219786487435521,Pakistan,Saudi Arabia,neutral-reporting
2091219786487435521,Pakistan,Turkiye,neutral-reporting
2091219786487435521,Saudi Arabia,Turkiye,neutral-reporting
2091217849801126093,Pakistan,Saudi Arabia,neutral-reporting
2091217849801126093,Pakistan,Turkiye,neutral-reporting
2091217849801126093,Saudi Arabia,Turkiye,neutral-reporting
2091216068249317397,Pakistan,Saudi Arabia,supportive
2091216068249317397,Pakistan,Turkiye,supportive
2091216068249317397,Saudi Arabia,Turkiye,supportive
2091216068249317397,Pakistan,Iran,supportive
2091216068249317397,Saudi Arabia,Iran,supportive
2091216068249317397,Turkiye,Iran,supportive
2091216068249317397,Pakistan,United States,hostile
2091216068249317397,Saudi Arabia,United States,hostile
2091216068249317397,Turkiye,United States,hostile
2091216068249317397,Iran,United States,hostile
2091215833595060503,Pakistan,Saudi Arabia,neutral-reporting
2091215833595060503,Pakistan,Turkiye,neutral-reporting
2091215833595060503,Saudi Arabia,Turkiye,neutral-reporting
2091215533710696804,Pakistan,Saudi Arabia,hostile
2091215533710696804,Pakistan,Turkiye,hostile
2091215533710696804,Saudi Arabia,Turkiye,hostile
2091214447712849939,Iran,Pakistan,supportive
2091211154777645204,Pakistan,Saudi Arabia,supportive
2091211154777645204,Pakistan,Turkiye,supportive
2091211154777645204,Saudi Arabia,Turkiye,supportive
2091208617190191171,Pakistan,Saudi Arabia,supportive
2091208617190191171,Pakistan,Turkiye,neutral-reporting
2091208617190191171,Saudi Arabia,Turkiye,neutral-reporting
2091204309861970319,Pakistan,Saudi Arabia,neutral-reporting
2091204309861970319,Pakistan,Turkiye,neutral-reporting
2091204309861970319,Saudi Arabia,Turkiye,neutral-reporting
2091202398475923659,Pakistan,Saudi Arabia,neutral-reporting
2091202398475923659,Pakistan,Turkiye,neutral-reporting
2091202398475923659,Saudi Arabia,Turkiye,neutral-reporting
2091198679818567994,Pakistan,Saudi Arabia,hostile
2091198679818567994,Pakistan,Turkiye,hostile
2091198679818567994,Saudi Arabia,Turkiye,hostile
2091196401946677471,Pakistan,Saudi Arabia,neutral-reporting
2091196401946677471,Pakistan,Turkiye,neutral-reporting
2091196401946677471,Saudi Arabia,Turkiye,neutral-reporting
2091195571029639420,Pakistan,Saudi Arabia,neutral-reporting
2091195571029639420,Pakistan,Turkiye,neutral-reporting
2091195571029639420,Saudi Arabia,Turkiye,neutral-reporting
2091193681046843593,Iran,Saudi Arabia,supportive
2091193681046843593,Iran,Turkiye,supportive
2091193681046843593,Saudi Arabia,Turkiye,neutral-reporting
2091188646812479577,Pakistan,Saudi Arabia,neutral-reporting
2091188646812479577,Pakistan,Turkiye,neutral-reporting
2091188646812479577,Saudi Arabia,Turkiye,neutral-reporting
2091188099745214816,Iran,Pakistan,hostile
2091188099745214816,Iran,Saudi Arabia,hostile
2091188099745214816,Iran,Turkiye,hostile
2091188099745214816,Pakistan,Saudi Arabia,neutral-reporting
2091188099745214816,Pakistan,Turkiye,neutral-reporting
2091188099745214816,Saudi Arabia,Turkiye,neutral-reporting
2091187706789568714,Pakistan,Saudi Arabia,neutral-reporting
2091187706789568714,Pakistan,Turkiye,neutral-reporting
2091187706789568714,Saudi Arabia,Turkiye,neutral-reporting
2091185570886099362,Pakistan,Saudi Arabia,neutral-reporting
2091185570886099362,Pakistan,Turkiye,neutral-reporting
2091185570886099362,Saudi Arabia,Turkiye,neutral-reporting
2091184648864829887,Pakistan,Iran,hostile
2091183929621708998,Pakistan,Turkiye,neutral-reporting
2091182997575757871,Pakistan,Saudi Arabia,neutral-reporting
2091182997575757871,Pakistan,Turkiye,neutral-reporting
2091182997575757871,Saudi Arabia,Turkiye,neutral-reporting
2091182508884783471,Pakistan,Saudi Arabia,supportive
2091182508884783471,Pakistan,Turkiye,supportive
2091182508884783471,Saudi Arabia,Turkiye,supportive
2091177995872449003,Pakistan,Saudi Arabia,neutral-reporting
2091177995872449003,Pakistan,Turkiye,neutral-reporting
2091177995872449003,Saudi Arabia,Turkiye,neutral-reporting
2091174375005254097,Pakistan,Saudi Arabia,neutral-reporting
2091174375005254097,Pakistan,Turkiye,supportive
2091174375005254097,Saudi Arabia,Turkiye,supportive
2091171758057422938,Iran,Pakistan,neutral-reporting
2091171758057422938,Iran,Saudi Arabia,neutral-reporting
2091171758057422938,Iran,Turkiye,neutral-reporting
2091171758057422938,Pakistan,Saudi Arabia,neutral-reporting
2091171758057422938,Pakistan,Turkiye,neutral-reporting
2091171758057422938,Saudi Arabia,Turkiye,neutral-reporting
2091170754700431380,Pakistan,Saudi Arabia,neutral-reporting
2091170754700431380,Pakistan,Turkiye,neutral-reporting
2091170754700431380,Saudi Arabia,Turkiye,neutral-reporting
2091168313007370480,Pakistan,Turkiye,hostile
2091168082999832986,Pakistan,Saudi Arabia,skeptical
2091166936545837266,Pakistan,Saudi Arabia,neutral-reporting
2091166936545837266,Pakistan,Turkiye,neutral-reporting
2091166936545837266,Saudi Arabia,Turkiye,neutral-reporting
2091166657192292794,Pakistan,Saudi Arabia,neutral-reporting
2091166657192292794,Pakistan,Turkiye,neutral-reporting
2091166657192292794,Saudi Arabia,Turkiye,neutral-reporting
2091163175890935985,Iran,Pakistan,neutral-reporting
2091162801360523334,Pakistan,Saudi Arabia,neutral-reporting
2091162801360523334,Pakistan,Turkiye,neutral-reporting
2091162801360523334,Saudi Arabia,Turkiye,neutral-reporting
2091151777336795195,Pakistan,Saudi Arabia,neutral-reporting
2091151777336795195,Pakistan,Turkiye,neutral-reporting
2091151777336795195,Saudi Arabia,Turkiye,neutral-reporting
2091133143331881243,Pakistan,Saudi Arabia,supportive
2091133143331881243,Pakistan,Turkiye,supportive
2091133143331881243,Saudi Arabia,Turkiye,supportive
2091133021655310487,Saudi Arabia,Turkiye,neutral-reporting
2091132280076910792,Saudi Arabia,Turkiye,supportive
2091132280076910792,Saudi Arabia,Pakistan,supportive
2091132280076910792,Turkiye,Pakistan,supportive
2091132280076910792,Saudi Arabia,United States,neutral-reporting
2091126042685526456,Iran,Pakistan,neutral-reporting
2091126042685526456,Iran,Saudi Arabia,neutral-reporting
2091126042685526456,Iran,Turkiye,neutral-reporting
2091126042685526456,Iran,United States,hostile
2091126042685526456,Pakistan,Saudi Arabia,supportive
2091126042685526456,Pakistan,Turkiye,supportive
2091126042685526456,Pakistan,United States,hostile
2091126042685526456,Saudi Arabia,Turkiye,supportive
2091126042685526456,Saudi Arabia,United States,hostile
2091126042685526456,Turkiye,United States,hostile
2091122848886645175,Iran,United States,neutral-reporting
2091122329744986582,Pakistan,Saudi Arabia,neutral-reporting
2091122329744986582,Pakistan,Turkiye,neutral-reporting
2091122329744986582,Saudi Arabia,Turkiye,neutral-reporting
2091118214650458399,Pakistan,Saudi Arabia,neutral-reporting
2091118214650458399,Pakistan,Turkiye,neutral-reporting
2091118214650458399,Saudi Arabia,Turkiye,neutral-reporting
2091117045068791853,Iran,Pakistan,neutral-reporting
2091117045068791853,Iran,Saudi Arabia,neutral-reporting
2091117045068791853,Iran,Turkiye,neutral-reporting
2091117045068791853,Pakistan,Saudi Arabia,neutral-reporting
2091117045068791853,Pakistan,Turkiye,neutral-reporting
2091117045068791853,Saudi Arabia,Turkiye,neutral-reporting
2091115987714163032,Iran,Turkiye,neutral-reporting
2091113793342365722,Pakistan,Saudi Arabia,neutral-reporting
2091113793342365722,Pakistan,Turkiye,neutral-reporting
2091113793342365722,Saudi Arabia,Turkiye,neutral-reporting
2091113109310332970,Pakistan,Saudi Arabia,supportive
2091113109310332970,Pakistan,Turkiye,supportive
2091113109310332970,Saudi Arabia,Turkiye,supportive
2091110710411747821,Pakistan,Saudi Arabia,neutral-reporting
2091110710411747821,Pakistan,Turkiye,neutral-reporting
2091110710411747821,Saudi Arabia,Turkiye,neutral-reporting
2091110565745676341,Pakistan,Saudi Arabia,supportive
2091110565745676341,Pakistan,Turkiye,supportive
2091110565745676341,Saudi Arabia,Turkiye,supportive
2091108442106659086,Pakistan,Saudi Arabia,supportive
2091108442106659086,Pakistan,Turkiye,supportive
2091108442106659086,Saudi Arabia,Turkiye,supportive
2091100083773374663,Pakistan,Saudi Arabia,neutral-reporting
2091100083773374663,Pakistan,Turkiye,neutral-reporting
2091100083773374663,Saudi Arabia,Turkiye,neutral-reporting
2091097469153063276,Pakistan,Saudi Arabia,neutral-reporting
2091097469153063276,Pakistan,Turkiye,neutral-reporting
2091097469153063276,Saudi Arabia,Turkiye,neutral-reporting
2091088738004918737,Pakistan,Saudi Arabia,neutral-reporting
2091088738004918737,Pakistan,Turkiye,neutral-reporting
2091088738004918737,Saudi Arabia,Turkiye,neutral-reporting
2091078116202451156,Pakistan,Saudi Arabia,neutral-reporting
2091078116202451156,Pakistan,Turkiye,neutral-reporting
2091078116202451156,Saudi Arabia,Turkiye,neutral-reporting
2091077903999979923,Pakistan,Saudi Arabia,neutral-reporting
2091077903999979923,Pakistan,Turkiye,neutral-reporting
2091077903999979923,Saudi Arabia,Turkiye,neutral-reporting
2091075463464509444,Pakistan,Saudi Arabia,neutral-reporting
2091075463464509444,Pakistan,Turkiye,neutral-reporting
2091075463464509444,Saudi Arabia,Turkiye,neutral-reporting
2091075294224633997,Pakistan,Saudi Arabia,neutral-reporting
2091075294224633997,Pakistan,Turkiye,neutral-reporting
2091075294224633997,Saudi Arabia,Turkiye,neutral-reporting
2091067964753936476,Pakistan,Saudi Arabia,supportive
2091067964753936476,Pakistan,Turkiye,supportive
2091067964753936476,Saudi Arabia,Turkiye,neutral-reporting
2091067964753936476,Pakistan,United States,neutral-reporting
2091067964753936476,Saudi Arabia,United States,neutral-reporting
2091067964753936476,Turkiye,United States,neutral-reporting
2091067379002523975,Pakistan,Saudi Arabia,neutral-reporting
2091067379002523975,Pakistan,Turkiye,neutral-reporting
2091067379002523975,Saudi Arabia,Turkiye,neutral-reporting
2091065047527162124,Pakistan,Saudi Arabia,neutral-reporting
2091065047527162124,Pakistan,Turkiye,neutral-reporting
2091065047527162124,Saudi Arabia,Turkiye,neutral-reporting
2091059358398320722,Pakistan,United States,hostile
2091058789772628425,Pakistan,Saudi Arabia,neutral-reporting
2091058789772628425,Pakistan,Turkiye,neutral-reporting
2091058789772628425,Saudi Arabia,Turkiye,neutral-reporting
2091055044489777375,Pakistan,Saudi Arabia,skeptical
2091055044489777375,Pakistan,Turkiye,skeptical
2091055044489777375,Saudi Arabia,Turkiye,skeptical
2091050790899138697,Pakistan,Saudi Arabia,neutral-reporting
2091050790899138697,Pakistan,Turkiye,neutral-reporting
2091050790899138697,Saudi Arabia,Turkiye,neutral-reporting
2091048700638646709,Pakistan,Turkiye,neutral-reporting
2091045362094014852,Iran,Turkiye,hostile
2091042582042444059,Pakistan,Saudi Arabia,neutral-reporting
2091042582042444059,Pakistan,Turkiye,neutral-reporting
2091042582042444059,Saudi Arabia,Turkiye,neutral-reporting
2091041892767351206,Pakistan,Saudi Arabia,neutral-reporting
2091041892767351206,Pakistan,Turkiye,neutral-reporting
2091041892767351206,Saudi Arabia,Turkiye,neutral-reporting
2091038190341947456,Pakistan,Saudi Arabia,neutral-reporting
2091038190341947456,Pakistan,Turkiye,neutral-reporting
2091038190341947456,Saudi Arabia,Turkiye,neutral-reporting
2091033108057387375,Pakistan,Saudi Arabia,neutral-reporting
2091033108057387375,Pakistan,Turkiye,neutral-reporting
2091033108057387375,Saudi Arabia,Turkiye,neutral-reporting
2091032936057614654,Turkiye,United States,neutral-reporting
2091032221926756473,Pakistan,Saudi Arabia,supportive
2091032221926756473,Pakistan,Turkiye,supportive
2091032221926756473,Saudi Arabia,Turkiye,supportive
2091027931590250823,Pakistan,Saudi Arabia,neutral-reporting
2091027931590250823,Pakistan,Turkiye,neutral-reporting
2091027931590250823,Saudi Arabia,Turkiye,neutral-reporting
2091027139814625290,Pakistan,Saudi Arabia,neutral-reporting
2091027139814625290,Pakistan,Turkiye,neutral-reporting
2091027139814625290,Saudi Arabia,Turkiye,neutral-reporting
2091027076484620294,Pakistan,Saudi Arabia,neutral-reporting
2091027076484620294,Pakistan,Turkiye,neutral-reporting
2091027076484620294,Saudi Arabia,Turkiye,neutral-reporting
2091026123597738408,Pakistan,Saudi Arabia,neutral-reporting
2091026123597738408,Pakistan,Turkiye,neutral-reporting
2091026123597738408,Saudi Arabia,Turkiye,neutral-reporting
2091022474666185092,Pakistan,Saudi Arabia,neutral-reporting
2091022474666185092,Pakistan,Turkiye,neutral-reporting
2091022474666185092,Saudi Arabia,Turkiye,neutral-reporting
2091018400814559288,Saudi Arabia,Turkiye,neutral-reporting
2091015296270352885,Pakistan,Saudi Arabia,neutral-reporting
2091015296270352885,Pakistan,Turkiye,neutral-reporting
2091015296270352885,Saudi Arabia,Turkiye,neutral-reporting
2091013087726018950,Pakistan,Saudi Arabia,neutral-reporting
2091013087726018950,Pakistan,Turkiye,neutral-reporting
2091013087726018950,Saudi Arabia,Turkiye,neutral-reporting
2091010540734976361,Pakistan,Saudi Arabia,neutral-reporting
2091010540734976361,Pakistan,Turkiye,neutral-reporting
2091010540734976361,Saudi Arabia,Turkiye,neutral-reporting
2091010288669638837,Pakistan,Turkiye,supportive
2090994887865045224,Pakistan,Saudi Arabia,neutral-reporting
2090994887865045224,Pakistan,Turkiye,neutral-reporting
2090994887865045224,Saudi Arabia,Turkiye,neutral-reporting
2090980018252112242,Pakistan,Saudi Arabia,neutral-reporting
2090980018252112242,Pakistan,Turkiye,neutral-reporting
2090980018252112242,Saudi Arabia,Turkiye,neutral-reporting
2090978911853420815,Pakistan,Saudi Arabia,neutral-reporting
2090978911853420815,Pakistan,Turkiye,neutral-reporting
2090978911853420815,Saudi Arabia,Turkiye,neutral-reporting
2090974737044320313,Saudi Arabia,Turkiye,neutral-reporting
2090954822526660732,Iran,Turkiye,neutral-reporting
2090954822526660732,Iran,United States,hostile
2090954822526660732,Turkiye,United States,neutral-reporting
2090950654739255765,Pakistan,Saudi Arabia,neutral-reporting
2090950654739255765,Pakistan,Turkiye,neutral-reporting
2090950654739255765,Saudi Arabia,Turkiye,neutral-reporting
